source_dataset_id,municipality_code,source_layer,native_zone_code,native_zone_description,generator_class,mapping_rule,mapping_status,evidence,notes,source_feature_count
F3_SRC_FVG_ZONING_IND_001,030006,CER:ZONE_INDUSTRIALI_ARTIG_D,D,ZONA_OMOGE=D | ZONA_DESC=Zona D - Zona industriale-artigianale - Sistema produttivo spontaneo esistente | SOTTOZONA=D3.2 | DEST_PREV=Zona D3.2 - Insediamenti artigianali singoli - Insediamenti interni alla zona industriale | ART_NTA=18,G1_PRODUCTIVE,CER_LAYER_D,RESOLVED_INCLUDED,CER/Mosaicatura PRG 2018 historical geometry fallback; S3 only where current plan is verified but vector geometry is unavailable,,3
F3_SRC_FVG_ZONING_IND_001,030006,CER:ZONE_INDUSTRIALI_ARTIG_D,D,ZONA_OMOGE=D | ZONA_DESC=Zona D - Zona industriale-artigianale - Sistema produttivo spontaneo esistente | SOTTOZONA=D3.3 | DEST_PREV=Zona D3.3 - Discoteca La Grotta sulla SR | ART_NTA=20,G1_PRODUCTIVE,CER_LAYER_D,RESOLVED_INCLUDED,CER/Mosaicatura PRG 2018 historical geometry fallback; S3 only where current plan is verified but vector geometry is unavailable,,2
F3_SRC_FVG_ZONING_IND_001,030006,CER:ZONE_INDUSTRIALI_ARTIG_D,D,ZONA_OMOGE=D | ZONA_DESC=Zona D - Zona industriale-artigianale | SOTTOZONA=D2.1 | DEST_PREV=Zona D2.1 - PRPC artigianali vigenti | ART_NTA=21,G1_PRODUCTIVE,CER_LAYER_D,RESOLVED_INCLUDED,CER/Mosaicatura PRG 2018 historical geometry fallback; S3 only where current plan is verified but vector geometry is unavailable,,2
F3_SRC_FVG_ZONING_IND_001,030006,CER:ZONE_INDUSTRIALI_ARTIG_D,D,ZONA_OMOGE=D | ZONA_DESC=Zona D - Zona industriale-artigianale | SOTTOZONA=D2.2 | DEST_PREV=Zona D2.2 - Comparti di nuovo impianto | ART_NTA=21,G1_PRODUCTIVE,CER_LAYER_D,RESOLVED_INCLUDED,CER/Mosaicatura PRG 2018 historical geometry fallback; S3 only where current plan is verified but vector geometry is unavailable,,1
F3_SRC_FVG_ZONING_IND_001,030006,CER:ZONE_INDUSTRIALI_ARTIG_D,D/H,ZONA_OMOGE=D/H | ZONA_DESC=Zona D/H - Insediamenti misti | SOTTOZONA=D2/H2 | DEST_PREV=Zona D2/H2 - PRPC vigente a casali Savonitti | ART_NTA=22,G1_PRODUCTIVE,CER_LAYER_D,RESOLVED_INCLUDED,CER/Mosaicatura PRG 2018 historical geometry fallback; S3 only where current plan is verified but vector geometry is unavailable,,1
F3_SRC_FVG_PRGC_CURRENT_001,030007,Attimis\ZONIZZAZIONE_6708.shp,A,ZONA_OMOGE=A | ZONA_DESC=Zona omogenea A | SOTTOZONA=A1 | DEST_PREV=ZONA OMOGENEA A1 (Immobili soggetti a restauro conservativo) | ART_NTA=8 | NOTE=IF non maggiore dell'esistente,,STANDARD_NON_GENERATOR_ZONE_FAMILY,RESOLVED_EXCLUDED,Official current/best-available PRGC vector; native attributes preserved,,6
F3_SRC_FVG_PRGC_CURRENT_001,030007,Attimis\ZONIZZAZIONE_6708.shp,A,ZONA_OMOGE=A | ZONA_DESC=Zona omogenea A | SOTTOZONA=A1a | DEST_PREV=ZONA A1a (Ambiti di interesse storico-archeologico) | ART_NTA=9 | NOTE=Solo interventi di consolidamento e manutenzione,,EXPLICIT_NON_GENERATOR_SEMANTICS,RESOLVED_EXCLUDED,Official current/best-available PRGC vector; native attributes preserved,,22
F3_SRC_FVG_PRGC_CURRENT_001,030007,Attimis\ZONIZZAZIONE_6708.shp,A,ZONA_OMOGE=A | ZONA_DESC=Zona omogenea A | SOTTOZONA=A2 | DEST_PREV=ZONA OMOGENEA A2 (Conservazione tipologica) | ART_NTA=10 | NOTE=IF non maggiore dell'esistente,,STANDARD_NON_GENERATOR_ZONE_FAMILY,RESOLVED_EXCLUDED,Official current/best-available PRGC vector; native attributes preserved,,8
F3_SRC_FVG_PRGC_CURRENT_001,030007,Attimis\ZONIZZAZIONE_6708.shp,A,ZONA_OMOGE=A | ZONA_DESC=Zona omogenea A | SOTTOZONA=A7 | DEST_PREV=ZONA A7 (Aree inedificabili) | ART_NTA=11,,STANDARD_NON_GENERATOR_ZONE_FAMILY,RESOLVED_EXCLUDED,Official current/best-available PRGC vector; native attributes preserved,,1
F3_SRC_FVG_PRGC_CURRENT_001,030007,Attimis\ZONIZZAZIONE_6708.shp,B,ZONA_OMOGE=B | ZONA_DESC=Zona omogenea B | SOTTOZONA=B0 | DEST_PREV=ZONA B0 (Edifici tipici dell'architettura minore storica) | ART_NTA=12 | NOTE=IF non maggiore dell'esistente,,STANDARD_NON_GENERATOR_ZONE_FAMILY,RESOLVED_EXCLUDED,Official current/best-available PRGC vector; native attributes preserved,,7
